Name,Handed,IP,SO,R,HR,BB,HBP,BK,WP,GOOD_THINGS,BAD_THINGS,FARNSWORTH_INDEX
Gerrit Cole,RIGHT,200.2,257,81,33,50,2,2,2,128.3716284,84.91508492,151.1764706
Jameson Taillon,RIGHT,177.1,151,78,26,32,5,0,3,85.26256352,81.30999435,104.8611111
Nestor Cortes,LEFT,158.1,163,44,16,38,2,0,1,103.0993042,63.88361796,161.3861386
Jordan Montgomery,LEFT,114.2,97,48,15,23,7,0,3,84.93870403,84.06304729,101.0416667
Luis Severino,RIGHT,102,112,37,14,30,4,0,1,109.8039216,84.31372549,130.2325581
Domingo GermÃ¡n,RIGHT,72.1,58,31,11,19,4,1,0,80.44382802,91.53952843,87.87878788
Clay Holmes,RIGHT,63.2,65,21,2,20,9,0,1,102.8481013,83.86075949,122.6415094
Lucas Luetge,LEFT,57.1,60,19,4,17,4,0,1,105.0788091,78.80910683,133.3333333
Wandy Peralta,LEFT,56.1,47,19,2,17,1,1,2,83.77896613,74.86631016,111.9047619
Jonathan LoÃ¡isiga,RIGHT,48,37,25,3,19,0,0,0,77.08333333,97.91666667,78.72340426
Aroldis Chapman,LEFT,36.1,43,18,4,28,1,0,6,119.1135734,157.8947368,75.43859649
Clarke Schmidt,RIGHT,57.2,56,23,5,23,2,0,0,97.9020979,92.65734266,105.6603774
Michael King,RIGHT,51,66,15,3,16,0,0,2,129.4117647,70.58823529,183.3333333
Ron Marinaccio,RIGHT,44,56,12,2,24,6,0,5,127.2727273,111.3636364,114.2857143
Frankie Montas,RIGHT,39.2,33,28,6,15,5,0,3,84.18367347,145.4081633,57.89473684
Miguel Castro,RIGHT,29,31,16,2,15,4,0,2,106.8965517,134.4827586,79.48717949
Albert Abreu,RIGHT,25.2,26,10,2,6,1,0,5,103.1746032,95.23809524,108.3333333
JP Sears,LEFT,22,15,5,1,5,1,0,0,68.18181818,54.54545455,125
Lou Trivino,RIGHT,21.2,22,6,1,10,2,0,1,103.7735849,94.33962264,110
Chad Green,RIGHT,15,16,6,1,5,0,0,0,106.6666667,80,133.3333333
Scott Effross,RIGHT,12.2,12,4,1,4,1,0,0,98.36065574,81.96721311,120
Greg Weissert,RIGHT,11.1,11,7,1,5,2,1,0,99.0990991,144.1441441,68.75
Ryan Weber,RIGHT,10.2,3,1,1,1,0,0,0,29.41176471,29.41176471,100
Manny Banuelos,LEFT,8.1,8,2,0,3,0,0,0,98.7654321,61.72839506,160
Chi Chi GonzÃ¡lez,RIGHT,4.2,3,1,0,3,0,0,0,71.42857143,95.23809524,75
Luis Gil,RIGHT,4,5,4,0,2,0,0,1,125,175,71.42857143
David McKay,RIGHT,2,1,0,0,2,0,0,0,50,100,50
Jacob Barnes,RIGHT,1.2,2,0,0,0,1,0,0,166.6666667,83.33333333,200
